jahr;straftat_code;straftat_bezeichnung;nationalitaet;tatverdaechtige
3;1;2;Deutsch;4
1987;------;Straftaten insgesamt;Deutsch;1032115
1988;------;Straftaten insgesamt;Deutsch;1027336
1989;------;Straftaten insgesamt;Deutsch;1034951
1990;------;Straftaten insgesamt;Deutsch;1054340
1991;------;Straftaten insgesamt;Deutsch;1061207
1992;------;Straftaten insgesamt;Deutsch;1072429
1993;------;Straftaten insgesamt;Deutsch;1361855
1994;------;Straftaten insgesamt;Deutsch;1424740
1995;------;Straftaten insgesamt;Deutsch;1514609
1996;------;Straftaten insgesamt;Deutsch;1587708
1997;------;Straftaten insgesamt;Deutsch;1640081
1998;------;Straftaten insgesamt;Deutsch;1691418
1999;------;Straftaten insgesamt;Deutsch;1661919
2000;------;Straftaten insgesamt;Deutsch;1697263
2001;------;Straftaten insgesamt;Deutsch;1712228
2002;------;Straftaten insgesamt;Deutsch;1759231
2003;------;Straftaten insgesamt;Deutsch;1801411
2004;------;Straftaten insgesamt;Deutsch;1837283
2005;------;Straftaten insgesamt;Deutsch;1793547
2006;------;Straftaten insgesamt;Deutsch;1780091
2007;------;Straftaten insgesamt;Deutsch;1804605
2008;------;Straftaten insgesamt;Deutsch;1784627
2009;------;Straftaten insgesamt;Deutsch;1724839
2010;------;Straftaten insgesamt;Deutsch;1680991
2011;------;Straftaten insgesamt;Deutsch;1628314
2012;------;Straftaten insgesamt;Deutsch;1591733
2013;------;Straftaten insgesamt;Deutsch;1555711
2014;------;Straftaten insgesamt;Deutsch;1532112
2015;------;Straftaten insgesamt;Deutsch;1457172
2016;------;Straftaten insgesamt;Deutsch;1407062
2017;------;Straftaten insgesamt;Deutsch;1376450
2018;------;Straftaten insgesamt;Deutsch;1342886
2019;------;Straftaten insgesamt;Deutsch;1319950
2020;------;Straftaten insgesamt;Deutsch;1306418
2021;------;Straftaten insgesamt;Deutsch;1252876
2022;------;Straftaten insgesamt;Deutsch;1309906
2023;------;Straftaten insgesamt;Deutsch;1323498
2024;------;Straftaten insgesamt;Deutsch;1271638
1987;000000;Straftaten gegen das Leben;Deutsch;2874
1988;000000;Straftaten gegen das Leben;Deutsch;2772
1989;000000;Straftaten gegen das Leben;Deutsch;2589
1990;000000;Straftaten gegen das Leben;Deutsch;2535
1991;000000;Straftaten gegen das Leben;Deutsch;2696
1992;000000;Straftaten gegen das Leben;Deutsch;2716
1993;000000;Straftaten gegen das Leben;Deutsch;3905
1994;000000;Straftaten gegen das Leben;Deutsch;3809
1995;000000;Straftaten gegen das Leben;Deutsch;4039
1996;000000;Straftaten gegen das Leben;Deutsch;3708
1997;000000;Straftaten gegen das Leben;Deutsch;3624
1998;000000;Straftaten gegen das Leben;Deutsch;3221
1999;000000;Straftaten gegen das Leben;Deutsch;3234
2000;000000;Straftaten gegen das Leben;Deutsch;3271
2001;000000;Straftaten gegen das Leben;Deutsch;3106
2002;000000;Straftaten gegen das Leben;Deutsch;3083
2003;000000;Straftaten gegen das Leben;Deutsch;3079
2004;000000;Straftaten gegen das Leben;Deutsch;3193
2005;000000;Straftaten gegen das Leben;Deutsch;3113
2006;000000;Straftaten gegen das Leben;Deutsch;3104
2007;000000;Straftaten gegen das Leben;Deutsch;3106
2008;000000;Straftaten gegen das Leben;Deutsch;3117
2009;000000;Straftaten gegen das Leben;Deutsch;3177
2010;000000;Straftaten gegen das Leben;Deutsch;3067
2011;000000;Straftaten gegen das Leben;Deutsch;2993
2012;000000;Straftaten gegen das Leben;Deutsch;2795
2013;000000;Straftaten gegen das Leben;Deutsch;2773
2014;000000;Straftaten gegen das Leben;Deutsch;2737
2015;000000;Straftaten gegen das Leben;Deutsch;2474
2016;000000;Straftaten gegen das Leben;Deutsch;2489
2017;000000;Straftaten gegen das Leben;Deutsch;2425
2018;000000;Straftaten gegen das Leben;Deutsch;2359
2019;000000;Straftaten gegen das Leben;Deutsch;2536
2020;000000;Straftaten gegen das Leben;Deutsch;2395
2021;000000;Straftaten gegen das Leben;Deutsch;2258
2022;000000;Straftaten gegen das Leben;Deutsch;2269
2023;000000;Straftaten gegen das Leben;Deutsch;2317
2024;000000;Straftaten gegen das Leben;Deutsch;2405
1987;010000;Mord § 211 StGB darunter:;Deutsch;724
1988;010000;Mord § 211 StGB darunter:;Deutsch;708
1989;010000;Mord § 211 StGB darunter:;Deutsch;612
1990;010000;Mord § 211 StGB darunter:;Deutsch;617
1991;010000;Mord § 211 StGB darunter:;Deutsch;662
1992;010000;Mord § 211 StGB darunter:;Deutsch;683
1993;010000;Mord § 211 StGB darunter:;Deutsch;961
1994;010000;Mord § 211 StGB darunter:;Deutsch;869
1995;010000;Mord § 211 StGB darunter:;Deutsch;919
1996;010000;Mord § 211 StGB darunter:;Deutsch;865
1997;010000;Mord § 211 StGB darunter:;Deutsch;847
1998;010000;Mord § 211 StGB darunter:;Deutsch;702
1999;010000;Mord § 211 StGB darunter:;Deutsch;788
2000;010000;Mord § 211 StGB darunter:;Deutsch;765
2001;010000;Mord § 211 StGB darunter:;Deutsch;679
2002;010000;Mord § 211 StGB darunter:;Deutsch;718
2003;010000;Mord § 211 StGB darunter:;Deutsch;686
2004;010000;Mord § 211 StGB darunter:;Deutsch;662
2005;010000;Mord § 211 StGB darunter:;Deutsch;695
2006;010000;Mord § 211 StGB darunter:;Deutsch;699
2007;010000;Mord § 211 StGB darunter:;Deutsch;679
2008;010000;Mord § 211 StGB darunter:;Deutsch;612
2009;010000;Mord § 211 StGB darunter:;Deutsch;656
2010;010000;Mord § 211 StGB darunter:;Deutsch;580
2011;010000;Mord § 211 StGB darunter:;Deutsch;636
2012;010000;Mord § 211 StGB darunter:;Deutsch;513
2013;010000;Mord § 211 StGB darunter:;Deutsch;543
2014;010000;Mord § 211 StGB;Deutsch;582
2015;010000;Mord § 211 StGB;Deutsch;524
2016;010000;Mord § 211 StGB;Deutsch;493
2017;010000;Mord § 211 StGB;Deutsch;516
2018;010000;Mord § 211 StGB;Deutsch;524
2019;010000;Mord § 211 StGB;Deutsch;565
2020;010000;Mord § 211 StGB;Deutsch;487
2021;010000;Mord § 211 StGB;Deutsch;443
2022;010000;Mord § 211 StGB;Deutsch;470
2023;010000;Mord § 211 StGB;Deutsch;469
2024;010000;Mord § 211 StGB;Deutsch;521
1987;011000;Raubmord;Deutsch;132
1988;011000;Raubmord;Deutsch;96
1989;011000;Raubmord;Deutsch;114
1990;011000;Raubmord;Deutsch;98
1991;011000;Raubmord;Deutsch;111
1992;011000;Raubmord;Deutsch;81
1993;011000;Raubmord;Deutsch;120
1994;011000;Raubmord;Deutsch;101
1995;011000;Raubmord;Deutsch;127
1996;011000;Raubmord;Deutsch;100
1997;011000;Raubmord;Deutsch;110
1998;011000;Raubmord;Deutsch;74
1999;011000;Mord im Zusammenhang mit Raubdelikten;Deutsch;91
2000;011000;Mord im Zusammenhang mit Raubdelikten;Deutsch;70
2001;011000;Mord im Zusammenhang mit Raubdelikten;Deutsch;83
2002;011000;Mord im Zusammenhang mit Raubdelikten;Deutsch;71
2003;011000;Mord im Zusammenhang mit Raubdelikten;Deutsch;61
2004;011000;Mord im Zusammenhang mit Raubdelikten;Deutsch;64
2005;011000;Mord im Zusammenhang mit Raubdelikten;Deutsch;49
2006;011000;Mord im Zusammenhang mit Raubdelikten;Deutsch;58
2007;011000;Mord im Zusammenhang mit Raubdelikten;Deutsch;79
2008;011000;Mord im Zusammenhang mit Raubdelikten;Deutsch;81
2009;011000;Mord im Zusammenhang mit Raubdelikten;Deutsch;54
2010;011000;Mord im Zusammenhang mit Raubdelikten;Deutsch;52
2011;011000;Mord im Zusammenhang mit Raubdelikten;Deutsch;65
2012;011000;Mord im Zusammenhang mit Raubdelikten;Deutsch;49
2013;011000;Mord im Zusammenhang mit Raubdelikten;Deutsch;43
2014;011000;Mord im Zusammenhang mit Raubdelikten;Deutsch;56
2015;011000;Mord im Zusammenhang mit Raubdelikten;Deutsch;38
2016;011000;Mord im Zusammenhang mit Raubdelikten;Deutsch;35
2017;011000;Mord im Zusammenhang mit Raubdelikten;Deutsch;44
2018;011000;Mord im Zusammenhang mit Raubdelikten;Deutsch;48
2019;011000;Mord im Zusammenhang mit Raubdelikten;Deutsch;41
2020;011000;Mord im Zusammenhang mit Raubdelikten;Deutsch;19
2021;011000;Mord im Zusammenhang mit Raubdelikten;Deutsch;23
2022;011000;Mord im Zusammenhang mit Raubdelikten;Deutsch;23
2023;011000;Mord im Zusammenhang mit Raubdelikten;Deutsch;14
2024;011000;Mord im Zusammenhang mit Raubdelikten;Deutsch;48
1987;012000;Sexualmord;Deutsch;28
1988;012000;Sexualmord;Deutsch;43
1989;012000;Sexualmord;Deutsch;41
1990;012000;Sexualmord;Deutsch;28
1991;012000;Sexualmord;Deutsch;32
1992;012000;Sexualmord;Deutsch;28
1993;012000;Sexualmord;Deutsch;25
1994;012000;Sexualmord;Deutsch;31
1995;012000;Sexualmord;Deutsch;18
1996;012000;Sexualmord;Deutsch;25
1997;012000;Sexualmord;Deutsch;13
1998;012000;Sexualmord;Deutsch;18
1999;012000;Mord im Zusammenhang mit Sexualdelikten;Deutsch;26
2000;012000;Mord im Zusammenhang mit Sexualdelikten;Deutsch;25
2001;012000;Mord im Zusammenhang mit Sexualdelikten;Deutsch;25
2003;012000;Mord im Zusammenhang mit Sexualdelikten;Deutsch;30
2004;012000;Mord im Zusammenhang mit Sexualdelikten;Deutsch;24
2005;012000;Mord im Zusammenhang mit Sexualdelikten;Deutsch;16
2006;012000;Mord im Zusammenhang mit Sexualdelikten;Deutsch;21
2007;012000;Mord im Zusammenhang mit Sexualdelikten;Deutsch;19
2008;012000;Mord im Zusammenhang mit Sexualdelikten;Deutsch;18
2009;012000;Mord im Zusammenhang mit Sexualdelikten;Deutsch;13
2010;012000;Mord im Zusammenhang mit Sexualdelikten;Deutsch;10
2011;012000;Mord im Zusammenhang mit Sexualdelikten;Deutsch;20
2012;012000;Mord im Zusammenhang mit Sexualdelikten;Deutsch;20
2013;012000;Mord im Zusammenhang mit Sexualdelikten;Deutsch;3
2014;012000;Mord im Zusammenhang mit Sexualdelikten;Deutsch;16
2015;012000;Mord im Zusammenhang mit Sexualdelikten;Deutsch;10
2016;012000;Mord im Zusammenhang mit Sexualdelikten;Deutsch;3
2017;012000;Mord im Zusammenhang mit Sexualdelikten;Deutsch;10
2018;012000;Mord im Zusammenhang mit Sexualdelikten;Deutsch;8
2019;012000;Mord im Zusammenhang mit Sexualdelikten;Deutsch;2
2020;012000;Mord im Zusammenhang mit Sexualdelikten;Deutsch;3
2021;012000;Mord im Zusammenhang mit Sexualdelikten;Deutsch;7
2022;012000;Mord im Zusammenhang mit Sexualdelikten;Deutsch;6
2023;012000;Mord im Zusammenhang mit Sexualdelikten;Deutsch;4
2024;012000;Mord im Zusammenhang mit Sexualdelikten;Deutsch;9
1987;020000;Alle übrigen (vorsätzlichen) Tötungen §§ 212, 213, 216, 217 StGB;Deutsch;1264
1988;020000;Alle übrigen (vorsätzlichen) Tötungen §§ 212, 213, 216, 217 StGB;Deutsch;1236
1989;020000;Alle übrigen (vorsätzlichen) Tötungen §§ 212, 213, 216, 217 StGB;Deutsch;1198
1990;020000;Alle übrigen (vorsätzlichen) Tötungen §§ 212, 213, 216, 217 StGB;Deutsch;1190
1991;020000;Alle übrigen (vorsätzlichen) Tötungen §§ 212, 213, 216, 217 StGB;Deutsch;1290
1992;020000;Alle übrigen (vorsätzlichen) Tötungen §§ 212, 213, 216, 217 StGB;Deutsch;1274
1993;020000;Alle übrigen (vorsätzlichen) Tötungen §§ 212, 213, 216, 217 StGB;Deutsch;2028
1994;020000;Alle übrigen (vorsätzlichen) Tötungen §§ 212, 213, 216, 217 StGB;Deutsch;1971
1995;020000;Alle übrigen (vorsätzlichen) Tötungen §§ 212, 213, 216, 217 StGB;Deutsch;2023
1996;020000;Alle übrigen (vorsätzlichen) Tötungen §§ 212, 213, 216, 217 StGB;Deutsch;1849
1997;020000;Alle übrigen (vorsätzlichen) Tötungen §§ 212, 213, 216, 217 StGB;Deutsch;1743
1998;020000;Alle übrigen (vorsätzlichen) Tötungen §§ 212, 213, 216, 217 StGB;Deutsch;1508
1999;020000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1431
2000;020000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1477
2001;020000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1334
2002;020000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1378
2003;020000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1321
2004;020000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1352
2005;020000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1363
2006;020000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1339
2007;020000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1394
2008;020000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1441
2009;020000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1413
2010;020000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1353
2011;020000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1292
2012;020000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1313
2013;020000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1310
2014;020000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1284
2015;020000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1075
2016;020000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1154
2017;020000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1046
2018;020000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1094
2019;020000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1243
2020;020000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1104
2021;020000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1049
2022;020000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1125
2023;020000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1104
2024;020000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1084
1987;021000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1253
1988;021000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1217
1989;021000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1178
1990;021000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1173
1991;021000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1270
1992;021000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1261
1993;021000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;2012
1994;021000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1956
1995;021000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;2004
1996;021000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1825
1997;021000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1725
1998;021000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Deutsch;1493
1987;022000;Kindstötung § 217 StGB;Deutsch;11
1988;022000;Kindstötung § 217 StGB;Deutsch;19
1989;022000;Kindstötung § 217 StGB;Deutsch;20
1990;022000;Kindstötung § 217 StGB;Deutsch;18
1991;022000;Kindstötung § 217 StGB;Deutsch;20
1992;022000;Kindstötung § 217 StGB;Deutsch;13
1993;022000;Kindstötung § 217 StGB (einschl. der unaufgeklärten Fälle der Tötung neugeborener Kinder);Deutsch;16
1994;022000;Kindstötung § 217 StGB (einschl. der unaufgeklärten Fälle der Tötung neugeborener Kinder);Deutsch;13
1995;022000;Kindstötung § 217 StGB (einschl. der unaufgeklärten Fälle der Tötung neugeborener Kinder);Deutsch;19
1996;022000;Kindstötung § 217 StGB (einschl. der unaufgeklärten Fälle der Tötung neugeborener Kinder);Deutsch;24
1998;022000;Kindstötung § 217 StGB (einschl. der unaufgeklärten Fälle der Tötung neugeborener Kinder);Deutsch;15
1987;030000;Fahrlässige Tötung § 222 StGB;Deutsch;680
1988;030000;Fahrlässige Tötung § 222 StGB;Deutsch;682
1989;030000;Fahrlässige Tötung § 222 StGB;Deutsch;718
1990;030000;Fahrlässige Tötung § 222 StGB;Deutsch;690
1991;030000;Fahrlässige Tötung § 222 StGB;Deutsch;730
1992;030000;Fahrlässige Tötung § 222 StGB;Deutsch;735
1993;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;914
1994;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;962
1995;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;1087
1996;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;980
1997;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;1018
1998;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;995
1999;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;991
2000;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;1008
2001;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;1077
2002;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;954
2003;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;1029
2004;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;1118
2005;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;1011
2006;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;1013
2007;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;957
2008;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;974
2009;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;1041
2010;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;1078
2011;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;956
2012;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;929
2013;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;867
2014;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;817
2015;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;805
2016;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;738
2017;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;797
2018;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;693
2019;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;691
2020;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;758
2021;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;731
2022;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;634
2023;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;698
2024;030000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Deutsch;767
1987;040000;Abbruch der Schwangerschaft §§ 218, 218b, 219a, StGB;Deutsch;219
1988;040000;Abbruch der Schwangerschaft §§ 218, 218b, 219a, StGB;Deutsch;150
1989;040000;Abbruch der Schwangerschaft §§ 218, 218b, 219a, StGB;Deutsch;67
1990;040000;Abbruch der Schwangerschaft §§ 218, 218b, 219a, StGB;Deutsch;44
1991;040000;Abbruch der Schwangerschaft §§ 218, 218b, 219a, StGB;Deutsch;24
1992;040000;Abbruch der Schwangerschaft §§ 218, 218b, 219a, StGB;Deutsch;33
1993;040000;Abbruch der Schwangerschaft §§ 218, 218b, 219a, StGB;Deutsch;32
1994;040000;Abbruch der Schwangerschaft §§ 218, 218b, 219a, StGB;Deutsch;18
1995;040000;Abbruch der Schwangerschaft §§ 218, 218b, 219a, StGB;Deutsch;22
1996;040000;Abbruch der Schwangerschaft §§ 218, 218b, 219a, StGB;Deutsch;24
1997;040000;Abbruch der Schwangerschaft §§ 218, 218b, 219a, StGB;Deutsch;27
1998;040000;Abbruch der Schwangerschaft §§ 218, 218b, 219a, StGB;Deutsch;22
1999;040000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;Deutsch;37
2000;040000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;Deutsch;31
2001;040000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;Deutsch;23
2002;040000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;Deutsch;36
2003;040000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;Deutsch;51
2004;040000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;Deutsch;72
2005;040000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;Deutsch;51
2006;040000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;Deutsch;65
2007;040000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;Deutsch;84
2008;040000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;Deutsch;93
2009;040000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;Deutsch;76
2010;040000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;Deutsch;65
2011;040000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;Deutsch;120
2012;040000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;Deutsch;44
2013;040000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;Deutsch;56
2014;040000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;Deutsch;64
2015;040000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;Deutsch;78
2016;040000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;Deutsch;113
2017;040000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;Deutsch;73
2018;040000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;Deutsch;59
2019;040000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;Deutsch;42
2020;040000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;Deutsch;51
2021;040000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;Deutsch;39
2022;040000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;Deutsch;44
2023;040000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219b StGB;Deutsch;52
2024;040000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219b StGB;Deutsch;42
2017;050000;Geschäftsmäßige Förderung der Selbsttötung;Deutsch;1
2018;050000;Geschäftsmäßige Förderung der Selbsttötung;Deutsch;0
2019;050000;Geschäftsmäßige Förderung der Selbsttötung;Deutsch;1
2020;050000;Geschäftsmäßige Förderung der Selbsttötung;Deutsch;0
2021;050000;Geschäftsmäßige Förderung der Selbsttötung;Deutsch;0
1987;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;13980
1988;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;14284
1989;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;14153
1990;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;14311
1991;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;14480
1992;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;14762
1993;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;17987
1994;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;19939
1995;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;20499
1996;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;21845
1997;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;24375
1998;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;24567
1999;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;24533
2000;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;25001
2001;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;25468
2002;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;27478
2003;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;29192
2004;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;32635
2005;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;31657
2006;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;30723
2007;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;33958
2008;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;37098
2009;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;29873
2010;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;27925
2011;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;27633
2012;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;25808
2013;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;27350
2014;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;27011
2015;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;25487
2016;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;24835
2017;100000;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;28390
2018;100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;Deutsch;32159
2019;100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;Deutsch;38292
2020;100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;Deutsch;45733
2021;100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;Deutsch;61902
2022;100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;Deutsch;65093
2023;100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;Deutsch;67116
2024;100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;Deutsch;67691
